epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,332.986,0.8971,1.07604,0.3478,0.72122,1.31407,0.8398,0.92727,0.93625,0.69371,0.77121,0.81515,0.7998,0.60308,1.04283,1.20737,0.19576,0.62678,1.42155,0.0009308,0.0009308,0.0009308
56,338.846,0.88851,0.89762,0.3528,0.72078,1.29984,0.89024,0.87273,0.93101,0.66153,0.78701,0.85455,0.83919,0.6209,1.08071,1.08716,0.14197,0.74725,1.47785,0.000911,0.000911,0.000911
57,344.81,0.89454,0.95619,0.3526,0.74951,1.30887,0.90308,0.85758,0.93829,0.72501,0.76283,0.79697,0.8078,0.63264,0.92207,1.08777,0.17608,0.6664,1.32876,0.0008912,0.0008912,0.0008912
58,350.683,0.87038,0.88755,0.35007,0.71309,1.28697,0.86999,0.89225,0.93323,0.70832,0.81123,0.83345,0.85898,0.63944,0.96874,0.99792,0.12666,0.65607,1.37752,0.0008714,0.0008714,0.0008714
59,356.621,0.82858,0.92299,0.33029,0.66816,1.28543,0.79952,0.88788,0.88787,0.6493,0.74376,0.82121,0.7987,0.57328,1.05935,1.36665,0.1821,0.70874,1.47111,0.0008516,0.0008516,0.0008516
60,362.684,0.90142,0.93291,0.34038,0.72176,1.30774,0.90069,0.87273,0.92787,0.71342,0.85863,0.80983,0.86462,0.65625,0.99902,1.0059,0.24144,0.62266,1.3689,0.0008318,0.0008318,0.0008318
61,368.602,0.87192,0.87287,0.31577,0.70706,1.28994,0.89728,0.88788,0.93148,0.73858,0.82845,0.83333,0.83726,0.65104,0.89199,1.02504,0.18214,0.52679,1.26491,0.000812,0.000812,0.000812
62,374.505,0.92084,0.82702,0.37712,0.73074,1.37502,0.90963,0.8697,0.91859,0.71775,0.81342,0.80589,0.81853,0.63145,0.94314,1.04165,0.19389,0.56876,1.31,0.0007922,0.0007922,0.0007922
63,380.386,0.86129,1.02498,0.33077,0.70215,1.30442,0.904,0.88182,0.92079,0.7109,0.7931,0.83636,0.81056,0.61259,0.96542,1.04209,0.22062,0.56864,1.33611,0.0007724,0.0007724,0.0007724
64,386.275,0.84559,0.87319,0.33982,0.65027,1.28216,0.83523,0.89091,0.90122,0.70368,0.79545,0.84848,0.85056,0.63439,0.91199,1.03394,0.18584,0.6061,1.27327,0.0007526,0.0007526,0.0007526
65,392.567,0.82399,0.88093,0.32241,0.65168,1.25598,0.918,0.85455,0.92234,0.71703,0.78652,0.84848,0.83391,0.64056,0.90663,0.91117,0.18273,0.57994,1.28015,0.0007328,0.0007328,0.0007328
66,398.558,0.84869,0.8831,0.33873,0.69593,1.27379,0.8895,0.88788,0.92037,0.7271,0.79383,0.82727,0.81802,0.63188,0.87651,0.95641,0.1567,0.53357,1.2589,0.000713,0.000713,0.000713
67,404.404,0.83777,0.92397,0.31523,0.71241,1.27383,0.86686,0.88788,0.90749,0.72747,0.81953,0.83939,0.8523,0.66371,0.84242,0.8387,0.13019,0.54441,1.23345,0.0006932,0.0006932,0.0006932
68,410.289,0.8187,0.85539,0.31999,0.65202,1.23898,0.88159,0.90606,0.92578,0.74834,0.80526,0.82727,0.83966,0.6415,0.83796,0.98442,0.10696,0.50897,1.21732,0.0006734,0.0006734,0.0006734
69,416.22,0.85458,0.76253,0.30065,0.6925,1.27668,0.87708,0.90814,0.93664,0.74849,0.81846,0.84705,0.85735,0.66731,0.83752,0.92751,0.12542,0.52148,1.22628,0.0006536,0.0006536,0.0006536
